season,week,contestant,voting_rule,judge_score_raw,judge_score_norm,fan_vote_estimate,estimate_type,is_eliminated
1,1,John O'Hurley,rank_v1,20.0,0.1834862385321101,0.0,rank_proxy,False
1,1,Kelly Monaco,rank_v1,13.0,0.11926605504587157,1.0,rank_proxy,False
1,1,Evander Holyfield,rank_v1,18.0,0.1651376146788991,1.0,rank_proxy,False
1,1,Rachel Hunter,rank_v1,20.0,0.1834862385321101,0.0,rank_proxy,False
1,1,Joey McIntyre,rank_v1,20.0,0.1834862385321101,-0.0,rank_proxy,False
1,1,Trista Sutter,rank_v1,18.0,0.1651376146788991,1.0,rank_proxy,False
1,2,John O'Hurley,rank_v1,26.0,0.21487603305785125,0.08533333333333348,rank_proxy,False
1,2,Kelly Monaco,rank_v1,17.0,0.14049586776859505,0.75,rank_proxy,False
1,2,Evander Holyfield,rank_v1,14.0,0.11570247933884298,0.5813333333333333,rank_proxy,False
1,2,Rachel Hunter,rank_v1,24.0,0.19834710743801653,0.16666666666666663,rank_proxy,False
1,2,Joey McIntyre,rank_v1,21.0,0.17355371900826447,0.41666666666666663,rank_proxy,False
1,2,Trista Sutter,rank_v1,19.0,0.15702479338842976,1.0,rank_proxy,True
1,3,John O'Hurley,rank_v1,24.0,0.22641509433962265,0.15384615384615385,rank_proxy,False
1,3,Kelly Monaco,rank_v1,21.0,0.19811320754716982,0.3846153846153846,rank_proxy,False
1,3,Evander Holyfield,rank_v1,13.0,0.12264150943396226,1.0,rank_proxy,True
1,3,Rachel Hunter,rank_v1,26.0,0.24528301886792453,0.653846153846154,rank_proxy,False
1,3,Joey McIntyre,rank_v1,22.0,0.20754716981132076,0.3076923076923077,rank_proxy,False
1,4,John O'Hurley,rank_v1,21.0,0.22826086956521738,0.33133333333333326,rank_proxy,False
1,4,Kelly Monaco,rank_v1,26.0,0.2826086956521739,0.5040000000000001,rank_proxy,False
1,4,Rachel Hunter,rank_v1,25.0,0.2717391304347826,1.0,rank_proxy,True
1,4,Joey McIntyre,rank_v1,20.0,0.21739130434782608,0.16466666666666663,rank_proxy,False
1,5,John O'Hurley,rank_v1,27.0,0.3698630136986301,0.0,rank_proxy,False
