season,week,contestant,judge_score_norm,fan_vote_soft,composite_score,is_eliminated
3,1,Harry Hamlin,0.08018867924528301,0.080188679245283,0.080188679245283,False
3,1,Vivica A. Fox,0.10377358490566038,0.10377358490566035,0.10377358490566037,False
3,1,Monique Coleman,0.08962264150943396,0.08962264150943394,0.08962264150943394,False
3,1,Joey Lawrence,0.09905660377358491,0.09905660377358488,0.0990566037735849,False
3,1,Mario Lopez,0.12264150943396226,0.12264150943396224,0.12264150943396225,False
3,1,Emmitt Smith,0.11320754716981132,0.1132075471698113,0.11320754716981131,False
3,1,Shanna Moakler,0.08490566037735849,0.08490566037735847,0.08490566037735847,False
3,1,Willa Ford,0.10377358490566038,0.10377358490566035,0.10377358490566037,False
3,1,Sara Evans,0.07075471698113207,0.07075471698113206,0.07075471698113206,False
3,1,Jerry Springer,0.07547169811320754,0.07547169811320753,0.07547169811320753,False
3,1,Tucker Carlson,0.05660377358490566,0.05660377358490565,0.056603773584905655,True
3,2,Harry Hamlin,0.09130434782608696,0.08632552188107666,0.0888149348535818,False
3,2,Vivica A. Fox,0.10434782608695652,0.1089770654085362,0.10666244574774636,False
3,2,Monique Coleman,0.11304347826086956,0.09687850351817844,0.104960990889524,False
3,2,Joey Lawrence,0.12608695652173912,0.10663671995167592,0.11636183823670752,False
3,2,Mario Lopez,0.09130434782608696,0.12496331689538068,0.10813383236073382,False
3,2,Emmitt Smith,0.10434782608695652,0.1175635451850502,0.11095568563600336,False
3,2,Shanna Moakler,0.09565217391304348,0.07811128933139802,0.08688173162222075,True
3,2,Willa Ford,0.1,0.10858648652458022,0.10429324326229011,False
3,2,Sara Evans,0.09130434782608696,0.08241521225479949,0.08685978004044323,False
3,2,Jerry Springer,0.08260869565217391,0.08954233904932417,0.08607551735074903,False
3,3,Harry Hamlin,0.10628019323671498,0.09423809910184079,0.10025914616927789,True
3,3,Vivica A. Fox,0.13043478260869565,0.11884814789089175,0.12464146524979369,False
3,3,Monique Coleman,0.13043478260869565,0.1078781886696217,0.11915648563915868,False
3,3,Joey Lawrence,0.10628019323671498,0.11447569984619639,0.11037794654145569,False
3,3,Mario Lopez,0.10628019323671498,0.1310927178763252,0.11868645555652009,False
3,3,Emmitt Smith,0.09178743961352658,0.12307212648248511,0.10742978304800585,False
3,3,Willa Ford,0.10628019323671498,0.11624358432273317,0.11126188877972407,False
3,3,Sara Evans,0.12077294685990338,0.09386279654737216,0.10731787170363777,False
3,3,Jerry Springer,0.10144927536231885,0.10028863926253372,0.10086895731242629,False
3,4,Vivica A. Fox,0.12121212121212122,0.1074863641119732,0.11434924266204721,True
3,4,Monique Coleman,0.12121212121212122,0.11980757015006431,0.12050984568109277,False
3,4,Joey Lawrence,0.13636363636363635,0.12717395042352622,0.13176879339358127,False
3,4,Mario Lopez,0.14646464646464646,0.1431988907160151,0.14483176859033078,False
3,4,Emmitt Smith,0.12121212121212122,0.13362090921765893,0.12741651521489006,False
3,4,Willa Ford,0.1414141414141414,0.1292401105642342,0.1353271259891878,False
3,4,Sara Evans,0.10101010101010101,0.12221055114020003,0.11161032607515052,False
3,4,Jerry Springer,0.1111111111111111,0.11726165367632807,0.11418638239371959,False
3,5,Monique Coleman,0.14917127071823205,0.13642262837826538,0.14279694954824873,False
3,5,Joey Lawrence,0.13812154696132597,0.1421389149627765,0.14013023096205124,False
3,5,Mario Lopez,0.14917127071823205,0.1577110836250974,0.15344117717166472,False
3,5,Emmitt Smith,0.14917127071823205,0.14899415677032335,0.1490827137442777,False
3,5,Willa Ford,0.14917127071823205,0.128310000620754,0.13874063566949302,True
3,5,Sara Evans,0.13259668508287292,0.14389817259095825,0.1382474288369156,False
3,5,Jerry Springer,0.13259668508287292,0.14252504305182526,0.13756086406734908,False
3,6,Monique Coleman,0.19491525423728814,0.19123253498325976,0.19307389461027397,False
3,6,Joey Lawrence,0.2033898305084746,0.19719957515949432,0.20029470283398446,False
3,6,Mario Lopez,0.23728813559322035,0.21443775609091434,0.22586294584206734,False
3,6,Emmitt Smith,0.211864406779661,0.20420202908921217,0.20803321793443658,False
3,6,Jerry Springer,0.15254237288135594,0.1929281046771194,0.1727352387792377,False
3,7,Monique Coleman,0.2,0.1920295772546208,0.19601478862731042,False
3,7,Joey Lawrence,0.2111111111111111,0.19846426024193978,0.20478768567652544,False
3,7,Mario Lopez,0.2074074074074074,0.21379863348482364,0.2106030204461155,False
3,7,Emmitt Smith,0.2111111111111111,0.20483012745491908,0.20797061928301508,False
3,7,Jerry Springer,0.17037037037037037,0.19087740156369665,0.1806238859670335,True
3,8,Monique Coleman,0.24311926605504589,0.2400553220103658,0.24158729403270585,True
3,8,Joey Lawrence,0.24770642201834864,0.24632204801494315,0.24701423501664588,False
3,8,Mario Lopez,0.26146788990825687,0.2615134298896982,0.2614906598989776,False
3,8,Emmitt Smith,0.24770642201834864,0.2521092000849929,0.24990781105167076,False
3,9,Joey Lawrence,0.3333333333333333,0.3269762014951522,0.33015476741424277,False
3,9,Mario Lopez,0.3333333333333333,0.34078654941707087,0.3370599413752021,False
3,9,Emmitt Smith,0.3333333333333333,0.33223724908777696,0.3327852912105551,False
3,10,Mario Lopez,0.5,0.5038860448730402,0.5019430224365201,False
3,10,Emmitt Smith,0.5,0.49611395512695977,0.4980569775634799,False
4,1,John Ratzenberger,0.0825242718446602,0.0825242718446602,0.0825242718446602,False
4,1,Ian Ziering,0.10194174757281553,0.10194174757281553,0.10194174757281553,False
4,1,Clyde Drexler,0.07766990291262135,0.07766990291262135,0.07766990291262135,False
4,1,Laila Ali,0.11165048543689321,0.11165048543689321,0.11165048543689321,False
4,1,Apolo Anton Ohno,0.10194174757281553,0.10194174757281553,0.10194174757281553,False
4,1,Shandi Finnessey,0.09223300970873786,0.09223300970873786,0.09223300970873786,False
4,1,Paulina Porizkova,0.09223300970873786,0.09223300970873786,0.09223300970873786,False
4,1,Heather Mills,0.08737864077669903,0.08737864077669903,0.08737864077669903,False
4,1,Billy Ray Cyrus,0.06310679611650485,0.06310679611650485,0.06310679611650485,False
4,1,Joey Fatone,0.11650485436893204,0.11650485436893204,0.11650485436893204,False
4,1,Leeza Gibbons,0.07281553398058252,0.07281553398058252,0.07281553398058252,False
4,2,John Ratzenberger,0.08571428571428572,0.08286255438799794,0.08428842005114183,False
4,2,Ian Ziering,0.08979591836734693,0.10080879307690488,0.0953023557221259,False
4,2,Clyde Drexler,0.07346938775510205,0.08506080954705739,0.07926509865107972,False
4,2,Laila Ali,0.11020408163265306,0.11151557303011136,0.11085982733138222,False
4,2,Apolo Anton Ohno,0.10612244897959183,0.10233173137401101,0.10422709017680143,False
4,2,Shandi Finnessey,0.08163265306122448,0.09145109096580709,0.08654187201351579,False
4,2,Paulina Porizkova,0.08571428571428572,0.074280113301507,0.07999719950789635,True
4,2,Heather Mills,0.09795918367346938,0.08836560160702507,0.09316239264024723,False
4,2,Billy Ray Cyrus,0.08571428571428572,0.0729557324048516,0.07933500905956867,False
4,2,Joey Fatone,0.09795918367346938,0.11477492284449432,0.10636705325898185,False
4,2,Leeza Gibbons,0.08571428571428572,0.07559307746023235,0.08065368158725902,False
4,3,John Ratzenberger,0.09174311926605505,0.09055494714378819,0.09114903320492163,False
4,3,Ian Ziering,0.11009174311926606,0.10840340494798255,0.10924757403362431,False
4,3,Clyde Drexler,0.07339449541284404,0.10305123424051194,0.08822286482667799,False
4,3,Laila Ali,0.0963302752293578,0.11693662541713072,0.10663345032324426,False
4,3,Apolo Anton Ohno,0.10550458715596331,0.10937758687339255,0.10744108701467793,False
4,3,Shandi Finnessey,0.0963302752293578,0.08355295223174906,0.08994161373055343,True
4,3,Heather Mills,0.11009174311926606,0.09707775444611928,0.10358474878269266,False
4,3,Billy Ray Cyrus,0.0963302752293578,0.08447792913236687,0.09040410218086234,False
4,3,Joey Fatone,0.11009174311926606,0.12111521646583014,0.11560347979254809,False
4,3,Leeza Gibbons,0.11009174311926606,0.0854523491011288,0.09777204611019744,False
4,4,John Ratzenberger,0.08421052631578947,0.09842625415051978,0.09131839023315463,False
4,4,Ian Ziering,0.12631578947368421,0.11846679782345673,0.12239129364857047,False
